file,package,system,tonnage,tier,position,brand,model,pdf_page,column,placeholder
sga_premium_5ton_best_1_trane_5ttv8x60a1000.png,Premium,SGA,5,Best,1,Trane,5TTV8X60A1000,1,left,0
sga_premium_5ton_best_2_trane_5txcc009as3hc.png,Premium,SGA,5,Best,2,Trane,5TXCC009AS3HC,1,left,0
sga_premium_5ton_best_3_trane_s8v2c100m5pcb.png,Premium,SGA,5,Best,3,Trane,S8V2C100M5PCB,1,left,0
sga_premium_5ton_best_4_trane_tlink360a2vvua.png,Premium,SGA,5,Best,4,Trane,TLINK360A2VVUA,1,left,0
sga_premium_5ton_better_1_trane_5ttr7060a1000.png,Premium,SGA,5,Better,1,Trane,5TTR7060A1000,1,right,0
sga_premium_5ton_better_2_trane_5txcc009as3hc.png,Premium,SGA,5,Better,2,Trane,5TXCC009AS3HC,1,right,0
sga_premium_5ton_better_3_trane_s8x1c100m5psc.png,Premium,SGA,5,Better,3,Trane,S8X1C100M5PSC,1,right,0
sga_premium_5ton_better_4_trane_tcont724as42da.png,Premium,SGA,5,Better,4,Trane,TCONT724AS42DA,1,right,0
sga_premium_5ton_budget_1_trane_5ttr4060a1000.png,Premium,SGA,5,Budget,1,Trane,5TTR4060A1000,2,right,0
sga_premium_5ton_budget_2_trane_5txcc009as3hc.png,Premium,SGA,5,Budget,2,Trane,5TXCC009AS3HC,2,right,0
sga_premium_5ton_budget_3_trane_s8x1c100m5psc.png,Premium,SGA,5,Budget,3,Trane,S8X1C100M5PSC,2,right,0
sga_premium_5ton_budget_4_trane_tcont724as42da.png,Premium,SGA,5,Budget,4,Trane,TCONT724AS42DA,2,right,0
sga_premium_5ton_good_1_trane_5ttr5060a1000.png,Premium,SGA,5,Good,1,Trane,5TTR5060A1000,2,left,0
sga_premium_5ton_good_2_trane_5txcc009as3hc.png,Premium,SGA,5,Good,2,Trane,5TXCC009AS3HC,2,left,0
sga_premium_5ton_good_3_trane_s8x1c100m5psc.png,Premium,SGA,5,Good,3,Trane,S8X1C100M5PSC,2,left,0
sga_premium_5ton_good_4_trane_tcont724as42da.png,Premium,SGA,5,Good,4,Trane,TCONT724AS42DA,2,left,0
sga_premium_4ton_best_1_trane_5ttv8x48a1000.png,Premium,SGA,4,Best,1,Trane,5TTV8X48A1000,3,left,0
