Package,Tonnage,Tier,Position,Brand,Model Number,Image File
Ultimate,,Good,2,Trane,5TXCB003AS3HC,sga_ultimate__oneton_good_2_trane_5txcb003as3hc.png
Ultimate,,Good,3,Trane,S8V2B060M4PCB,sga_ultimate__oneton_good_3_trane_s8v2b060m4pcb.png
Ultimate,,Good,4,Trane,TCONT724AS42DA,sga_ultimate__oneton_good_4_trane_tcont724as42da_3.png
Ultimate,,Budget,1,Trane,5TTX5036A1000,sga_ultimate__oneton_budget_1_trane_5ttx5036a1000.png
Ultimate,,Budget,2,Trane,5TXCB004AS3HC,sga_ultimate__oneton_budget_2_trane_5txcb004as3hc.png
Ultimate,,Budget,3,Trane,S8X1B060M4PSC,sga_ultimate__oneton_budget_3_trane_s8x1b060m4psc.png
Ultimate,,Budget,4,Trane,TCONT724AS42DA,sga_ultimate__oneton_budget_4_trane_tcont724as42da_3.png
Ultimate,2.5,Budget,1,Trane,5TTX5030A1000,sga_ultimate_2.5ton_budget_1_trane_5ttx5030a1000.png
Ultimate,2.5,Budget,2,Ameristar,5TXCB004AS3HC,sga_ultimate_2.5ton_budget_2_ameristar_5txcb004as3hc.png
Ultimate,2.5,Budget,3,Trane,S8X1B060M4PSC,sga_ultimate_2.5ton_budget_3_trane_s8x1b060m4psc.png
Ultimate,2.5,Budget,4,Trane,TCONT724AS42DA,sga_ultimate_2.5ton_budget_4_trane_tcont724as42da.png
Ultimate,2,Best,1,Trane,5TTV0X24A1000,sga_ultimate_2ton_best_1_trane_5ttv0x24a1000.png
Ultimate,2,Best,2,Trane,5TXCA002AS3HCAA,sga_ultimate_2ton_best_2_trane_5txca002as3hcaa.png
Ultimate,2,Best,3,Trane,S8V2A040M3PCB,sga_ultimate_2ton_best_3_trane_s8v2a040m3pcb.png
Ultimate,2,Best,4,Trane,TLINK360A2VVUA,sga_ultimate_2ton_best_4_trane_tlink360a2vvua.png
Ultimate,2,Better,1,Trane,5TTV8X24A1000,sga_ultimate_2ton_better_1_trane_5ttv8x24a1000.png
Ultimate,2,Better,2,Ameristar,5TXCA002AS3HC,sga_ultimate_2ton_better_2_ameristar_5txca002as3hc.png
Ultimate,2,Better,3,Trane,S8V2A040M3PCB,sga_ultimate_2ton_better_3_trane_s8v2a040m3pcb.png
Ultimate,2,Better,4,Trane,TLINK360A2VVUA,sga_ultimate_2ton_better_4_trane_tlink360a2vvua.png
Ultimate,,Good,1,Trane,5TTX7024A1000,sga_ultimate__oneton_good_1_trane_5ttx7024a1000.png
