Item Name,Description,Mfg Part #,Category,Rate,Item Type
Compressor - 1300,INSTALL NEW COMPRESSOR COMPLETE INCLUDING\CRThis Installation Includes the Following:\CR* Reclaim refrigerant from the system\CR* Removal and disposal of de,,Service:Service Repairs:Compressor,5948.78000,Non Inventory
Compressor - 1500,INSTALL NEW COMPRESSOR COMPLETE INCLUDING\CRThis Installation Includes the Following:\CR* Reclaim refrigerant from the system\CR* Removal and disposal of de,,Service:Service Repairs:Compressor,6463.06000,Non Inventory
Compressor - 1700,INSTALL NEW COMPRESSOR COMPLETE INCLUDING\CRThis Installation Includes the Following:\CR* Reclaim refrigerant from the system\CR* Removal and disposal of de,,Service:Service Repairs:Compressor,7184.73000,Non Inventory
Compressor - 600,INSTALL NEW COMPRESSOR COMPLETE INCLUDING\CRThis Installation Includes the Following:\CR* Reclaim refrigerant from the system\CR* Removal and disposal of de,,Service:Service Repairs:Compressor,3941.40000,Non Inventory
Compressor - 800,INSTALL NEW COMPRESSOR COMPLETE INCLUDING\CRThis Installation Includes the Following:\CR* Reclaim refrigerant from the system\CR* Removal and disposal of de,,Service:Service Repairs:Compressor,4455.68000,Non Inventory
Compressor Power Surge Damage,INSTALL NEW COMPRESSOR IN (BRAND) UNIT THAT WAS DAMAGED BY POWER SURGE\CR\CR **EVACUATE AND REMOVE CONTAMINATED REFRIGERANT FROM SYSTEM ACCORDING TO EPA G,,Service:Service Repairs:Insurance : Lightning Repairs,4171.60000,Non Inventory
Compressor Soft Start,Compressor Soft Starter Upgrade / Replacement\CRA compressor soft starter is a valuable upgrade that reduces the electrical surge your system experience,,Service:Service Repairs:Capacitors,603.35000,Non Inventory
Compressor Terminal,REPLACE COMPRESSOR TERMINAL(S) COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE TERMINALS -2) 1 YR. REPLACEMENT COVERAGE,,Service:Service Repairs:Compressor,207.97000,Non Inventory
Compressor Terminal Kit,INSTALL COMPRESSOR TERMINAL KIT COMPLETE INCLUDING - 1) REMOVAL & DISPOSAL OF DEFECTIVE TERMINALS -2) 1 YR. REPLACEMENT COVERAGE,,Service:Service Repairs:Compressor,354.64000,Non Inventory
Concierge - Tune Up,PERFORM CLEAN & CHECK COOLING TUNE-UP FOR 1) A/C SYSTEM INCLUDING -1) MONITOR REFRIGERANT LEVELS -2) PERFORM INSPECTION OF COILS AND CLEANING TO OUTDO,,Neighborhood Concierge,200.00000,Non Inventory
Condensate Drain Cleaning Lvl 1,CLEAR BLOCKED CONDENSATE DRAIN COMPLETE INCLUDING  -1) FLUSH OUT DRAIN LINE WITH CLEANER / NITROGEN TO CLEAR DRAIN BLOCKAGE -2) REMOVE EXISTING DRAIN,,Service:Service Repairs:Condensate,207.80000,Non Inventory
Condensate Drain Cleaning Lvl 2,CLEAR BLOCKED CONDENSATE DRAIN COMPLETE INCLUDING  -1) FLUSH OUT DRAIN LINE WITH CLEANER / NITROGEN TO CLEAR DRAIN BLOCKAGE -2) REMOVE EXISTING DRAIN,,Service:Service Repairs:Condensate,274.47000,Non Inventory
Condensate Drain Cleaning Lvl 3,CLEAR BLOCKED CONDENSATE DRAIN COMPLETE INCLUDING  -1) FLUSH OUT DRAIN LINE WITH CLEANER / NITROGEN TO CLEAR DRAIN BLOCKAGE -2) REMOVE EXISTING DRAIN,,Service:Service Repairs:Condensate,458.20000,Non Inventory
Condensate Drain Cleaning Lvl 4,CLEAR BLOCKED CONDENSATE DRAIN COMPLETE INCLUDING  -1) FLUSH OUT DRAIN LINE WITH CLEANER / NITROGEN TO CLEAR DRAIN BLOCKAGE -2) REMOVE EXISTING DRAIN,,Service:Service Repairs:Condensate,641.93000,Non Inventory
Condensate Drain Repair,REPAIR CONDENSATE DRAIN LINE COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE ITEMS -2) 1 YR. REPLACEMENT COVERAGE ON ALL WORKMANSHIP,,Service:Service Repairs:Condensate,248.93000,Non Inventory
Contract Information,New Contract\CR\CRPerformance Start Date: 01/01/2022\CRPerformance End Date: 12/31/2022\CR\CR,,,0.00000,Non Inventory
Crawlspace Access Door,INSTALL HEAVY DUTY HINGED METAL CRAWLSPACE DOOR COMPLETE WITH CODED PADLOCK INCLUDING \CR-CUSTOM FABRICATION OF STEEL DOOR \CR-INSTALLATION OF DOOR AND FA,,Sales,485.00000,Non Inventory
Crawlspace Entrance,Encapsulation-Grade Airtight Access Door:\CR\CRHeavy-duty insulated door\CRFull air seal\CRMoisture-resistant materials\CRLockable,,,1500.00000,Non Inventory
Crawlspace Joist Clean & Treat,Comprehensive cleaning and protective treatment of all floor joists and structural wood in your\CRcrawlspace to eliminate existing contamination and pre,,,3547.00000,Non Inventory
Credit Card Transaction Fee,,,,1.00000,Non Inventory
Customer Credit,,,,0.00000,Non Inventory
Daikin Fan Blade,\CRINSTALL NEW MINI-SPLIT OUTDOOR FAN BLADE COMPLETE INCLUDING \CR-REMOVAL & DISPOSAL OF DEFECTIVE PARTS \CR-RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPE,,,624.63000,Inventory
Daikin Indoor Unit,REPLACE INDOOR UNIT WITH THE SAME MODEL\CR\CRThis Installation Includes \CR-REMOVAL & DISPOSAL OF EXISTING HVAC EQUIPMENT\CR-DAILY JOB-SITE CLEAN-UP \CR-RECONNE,,,0.00000,Inventory
Daikin Mini Split MID2 Board,INSTALL NEW MID2 CIRCUIT BOARD,,Service:Service Repairs:Circuit Boards:Daikin Mini Split,612.80000,Non Inventory
Daikin Mini Split SPM Board,INSTALL NEW SPM CIRCUIT BOARD,,Service:Service Repairs:Circuit Boards:Daikin Mini Split,509.01000,Non Inventory
Daikin Outdoor Motor & Blade,REPLACE DAIKIN OUTDOOR FAN MOTOR & BLADE COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE PARTS -2) MONITOR SYSTEM PERFORMANCE UPON COMPLETION O,,Service:Service Repairs:Circuit Boards:Daikin Mini Split,1579.81000,Non Inventory
Daikin Wall Unit,,,,198.67000,Non Inventory
Daikin Wall Unit 2,,,,185.33000,Non Inventory
DC Heat Relay,REPLACE HEATING RELAY COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE (PART) -2) RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPER OPERATION & R,,Service:Service Repairs:Relays,202.32000,Non Inventory
Defrost Control Board,INSTALL NEW DEFROST CONTROL BOARD INCLUDING \CR- REMOVAL & DISPOSAL OF DEFECTIVE BOARD \CR- 1 YR. REPLACEMENT COVERAGE BY GIESBRECHT,,Service:Service Repairs:Circuit Boards,468.31000,Non Inventory
Defrost Sensor,REPLACE DEFROST SENSOR COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE SENSOR -2) RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPER OPERATION &,,Service:Service Repairs:Defrost Controls,296.25000,Non Inventory
Delay on Break / Make,INSTALL DELAY ON BREAK / MAKE TIMER COMPLETE INCLUDING -1) MONITOR SYSTEM UPON COMPLETION -2) 1 YR. REPLACEMENT COVERAGE ON REPAIR,,Service:Service Repairs:Relays,191.35000,Non Inventory
Delivery Fee,,,,0.00000,Non Inventory
Deluxe Filter Maintenance," -INSTALL 16""x25""x2"" 6 MONTH NANO MAX FILTER COMPLETE WITH UPGRADE BRACKET\CR-AFTER THE FIRST 6 MONTHS THE FILTER PRICE WILL BE $149",,Maintenance:Filters,200.00000,Inventory
Deluxe Return Seal,"AIR SEAL RETURN BOX COMPLETE INCLUDING -1) INSTALLATION OF FOAM BOARD TO ENSURE THAT BOX IS AIR TIGHT -2) APPLY MASTIC SEALANT TO ALL CRACKS, JOINTS &",,Service:Service Repairs:Ductwork Repairs / Modifications,700.00000,Non Inventory
Dirty Sox Cleaning,PERFORM PRECISION DIRTY SOX TREATMENT TO INDOOR COIL COMPLETE INCLUDING  -1) USE OF NON-CORROSIVE CHEMICALS TO CLEAN AWAY ALL DIRT & DEBRIS  -2) REMOV,028897,Service:Service Repairs:Gas Furnace Repairs:Precision Cleanings,427.67000,Non Inventory
Don Talley Maintenance,This Plan Includes the Following\CR- 12 MONTH COVERAGE\CR-INCLUDES A FREE PRECISION HEATING TUNE-UP\CR-INCLUDES A FREE PRECISION COOLING TUNE-UP\CR-LOWER,,,875.00000,Non Inventory
Down Payment,,,,0.00000,Non Inventory
Dual Pressure Johnson Ctrls,REPLACE DUAL PRESSURE REFRIGERATION CONTROL COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE CONTROL -2) RUN TEST SYSTEM UPON COMPLETION TO ENSU,,Service:Service Repairs:Refrigeration Equipment / Coolers / Freezers / Milk Coolers,768.60000,Non Inventory
Dual Run Capacitor,REPLACE RUN DEVICE COMPLETE INCLUDING  -1) REMOVAL & DISPOSAL OF DEFECTIVE DEVICE  -2) MONITOR REFRIGERANT LEVELS  -3) MONITOR AMPERAGE OF COMPRESSOR,,Service:Service Repairs:Capacitors,338.96000,Non Inventory
Duct Blast Test,PERFORM DUCT BLAST TEST TO MEASURE TOTAL DUCT SYSTEM LEAKAGE\CR- INCLUDES MAKING RECOMMENDATIONS TO IMPROVE DUCTING SYSTEM UPON COMPLETION OF TESTING,,Service:Service Repairs:Home Diagnosis Services,565.00000,Non Inventory
Duct Removal & Return to Origin," -Remove Old Duct\CR-Put old duct / new duct in place",,Service:Service Repairs:Ductwork Repairs / Modifications,0.00000,Non Inventory
Ductwork Repair / Modification,,,Sales:New Ductwork,0.00000,Inventory
Dynamic Filter Media,DYNAMIC FILTER MEDIA DELIVERED TO YOUR DOOR,,Service:Service Repairs,132.12000,Non Inventory
Easy Seal Direct Inject,INSTALL REFRIGERANT STOP LEAK INTO REFRIGERATION SYSTEM COMPLETE INCLUDING  -1) MONITOR REFRIGERANT LEVELS FOR 30 MINUTES AFTER THE INSTALLATION OF TH,,Service:Service Repairs:Refrigerant,225.33000,Non Inventory
ECM AfterMarket Fan Motor,REPLACE FAN MOTOR COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE (PART) -2) RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPER OPERATION & RECOR,,Service:Service Repairs:Motors,981.60000,Non Inventory
ECM Module,REPLACE INDOOR VARIABLE SPEED MODULE COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE (PART) -2) RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPE,,Service:Service Repairs:Motors,1158.93000,Non Inventory
ECM Variable Speed Motor,REPLACE INDOOR VARIABLE SPEED MOTOR & MODULE COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE (PART) -2) RUN TEST SYSTEM UPON COMPLETION TO ENSU,,Service:Service Repairs:Motors,2060.35000,Non Inventory
Ecobee 4 Thermostat,INSTALL NEW ECOBEE 4 THERMOSTAT  COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF EXISTING THERMOSTAT -2) RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPER,,Service:Service Repairs:Thermostat,399.00000,Inventory
EEV Board,INSTALL ELECTRONIC EXPANSION VALVE BOARD COMPLETE INCLUDING - REMOVAL & DISPOSAL OF DEFECTIVE BOARD- MONITOR PERFORMANCE OF SYSTEM TO ENSURE PROPER OP,,Service:Service Repairs,993.04000,Inventory
Elect Furnace Retro-Fit Breaker,INSTALL SUCTION ELECTRIC FURNACE BREAKER KIT COMPLETE INCLUDING - REMOVAL & DISPOSAL OF DEFECTIVE PARTS - MONITOR PERFORMANCE OF SYSTEM TO ENSURE PROP,,Service:Service Repairs:Electrical Repairs,1085.44000,Inventory
Electric Heating Sensor,REPLACE ELECTRIC HEATING SENSOR COMPLETE INCLUDING \CR*REMOVAL & DISPOSAL OF DEFECTIVE PART \CR*RUN TEST SYSTEM TO ENSURE PROPER OPERATION \CR*1 YR. REPL,,Service:Service Repairs:Heating Elements,217.84000,Non Inventory
Electronic Gas Leak Search,PERFORM THOROUGH PRECISION ELECTRONIC LEAK SEARCH,,,225.33000,Non Inventory
Electronic Refrig Leak Search,PERFORM THOROUGH PRECISION ELECTRONIC LEAK SEARCH COMPLETE INCLUDING  -1) PERFORM LEAK SEARCH ON INDOOR COIL  -2) PERFORM LEAK SEARCH ON OUTDOOR COIL,,Service:Service Repairs:Refrigerant,269.00000,Non Inventory
Emergency Condensate Drain,Emergency Condensate Drain Pan Drain Line\CR\CRInstall a dedicated drain line from the emergency condensate drain pan to help safely route water to the ex,,Service,795.00000,Non Inventory
Emergency Service Call,EMERGENCY SERVICE CALL & DIAGNOSIS TIME,,Service:Service Repairs:Service Call & Diagnosis,269.00000,Inventory
Energy Audit,PERFORM ENERGY AUDIT ON HOME COMPLETE INCLUDING\CR- VISUALLY EVALUATE HVAC EQUIPMENT AND DUCTWORK\CR- PERFORM INFRARED CAMERA INSPECTION OF HOME TO PINPOI,,Service:Service Repairs:Home Diagnosis Services,169.00000,Non Inventory
Equipment & Ductwork Change-...,,,,8250.00000,Non Inventory
Equipment Change-out,,,,7800.00000,Non Inventory
Equipment Change-out 2,,,,9073.00000,Non Inventory
Essential 3 Ton SHP - Best,Trane [5TWR5036A1000]\CR-15 SERIES\CRSINGE-STAGE\CR-HEAT PUMP\CR\CRTrane [5TEM4B03AC31S]\CR-5TEM4 Series\CR-Fixed Speed\CR-Air Handler\CR-10 yrs limited parts warranty,,Sales,12258.00000,Inventory
Essential 3 Ton SHP - Better,Carrier [27SCA536A003]\CR-Comfort Series\CR-Single Stage\CR-Heat Pump\CR\CRCarrier [FJ5ANXB36L10]\CR-Comfort Series\CR-Single Stage\CR-Air Handler\CR-10 yr limited part,,Sales,10723.00000,Inventory
Essential 3 Ton SHP - Budget,RunTru [A5HP4036A1000]\CR-A5HP4 Series\CR-single Stage\CR-Heat Pump\CR-10 yr limited parts warranty with registration\CR-10 yr limited compressor and coil warra,,Sales,8177.00000,Inventory
Essential 3 Ton SHP - Good,Trane [5TWR4036A1000]\CR-14 Series\CR- Single Stage\CR- Split System Heat Pump\CR-10 yr parts warranty when registered\CR-10 yr compressor warranty when registe,,Sales,10237.00000,Inventory
External Tankless Water Heater,INSTALL EXTERNAL MOUNT TANKLESS WATER HEATER COMPLETE INCLUDING\CR1) REMOVAL & DISPOSAL OF EXISTING WATER HEATER \CR2) UPGRADE HIGH VOLTAGE ELECTRICAL A,,Service:Service Repairs:Water Heater,3934.67000,Non Inventory
Fan & Limit Control,REPLACE FAN & LIMIT CONTROL COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE CONTROL -2) RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPER OPERAT,,Service:Service Repairs:Gas Furnace Repairs,400.28000,Non Inventory
Fan Motor Mount,\CRINSTALL NEW MINI-SPLIT OUTDOOR FAN MOTOR MOUNT COMPLETE INCLUDING \CR-REMOVAL & DISPOSAL OF DEFECTIVE PARTS \CR-RUN TEST SYSTEM UPON COMPLETION TO ENSURE,,,343.55000,Inventory
Field Controls,INSTALL FIELD CONTROLS STEAM HUMIDIFIER COMPLETE INCLUDING -1) INSTALLATION OF WATER LINE TO HUMIDIFIER -2) INSTALLATION OF 115V RECEPTACLE -3) INSTAL,,Service:Service Repairs:Steam Humidifier,2800.00000,Non Inventory
Filter Maintenance,,,,274.00000,Inventory
Filter Maintenance Bi-Monthly,FILTER CHANGES EVERY OTHER MONTH,,Maintenance:Filters,274.00000,Inventory
FILTER UPGRADE," -UPGRADE CURRENT RETURN GRILL FOR THE SPLIT HEAT PUMP COMPLETE INCLUDING,  REPLACING THE CURRENT RETURN GRILL WITH A DROP DOWN GRILL, REMOVING THE FIL",,Maintenance:Filters,350.00000,Inventory
Final Frontiers Maintenance,This Plan Includes the Following\CR- 12 MONTH COVERAGE\CR-INCLUDES A FREE PRECISION HEATING TUNE-UP\CR-INCLUDES A FREE PRECISION COOLING TUNE-UP\CR-LOWER,,,805.00000,Inventory
Final Inspection,,,,333.33000,Non Inventory
Financing,,,,0.00000,Non Inventory
First Responders / Healthcare,"Eligible: Police, Firefighters, EMTs, Paramedics, 911 Dispatchers, Nurses, Doctors, Hospital Staff, Home Health Aides, Pharmacists\CRVerification: Badge",,,15.00000,Discount
Flame Rod Sensor,REPLACE FLAME ROD SENSOR COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE SENSOR -2) RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPER OPERATION,,Service:Service Repairs:Gas Furnace Repairs,191.76000,Non Inventory
Flame Roll-Out Sensor,REPLACE FLAME ROLL OUT SENSOR COMPLETE INCLUDING\CR*REMOVAL & DISPOSAL OF DEFECTIVE PART\CR*RUN TEST SYSTEM TO ENSURE CORRECT OPERATION \CR*1 YR. REPLACE,,Service:Service Repairs:Gas Furnace Repairs,205.09000,Non Inventory
Flex Mount Bracket,REPLACE INDOOR MOTOR MOUNT AND DISPOSE OF EXISTING PART AND CLEANING THE BLOWER ASSEMBLY.,,Service:Service Repairs:Gas Furnace Repairs:Motors,500.00000,Inventory
Flue Repair,,,,0.00000,Inventory
Fluorescent Light Ballast,REPLACE LIGHTING BALLAST CONTROL COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE CONTROL -2) RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPER O,,Service:Service Repairs:Electrical Repairs,257.56000,Non Inventory
FUMC Maintenance,Giesbrecht Maintenance Program 12 Units Billed Quarterly\CRThis Program Includes the Following\CR- 12 MONTH COVERAGE\CR- 2 PRECISION TUNE-UPS EACH YEAR EVER,,Maintenance:Maintenance Program,3220.00000,Inventory
Furnace B-Vent Conversion,Furnace B-Vent Conversion — Interior Venting to Existing Roof Penetration\CR\CRReplace accessible single-wall furnace vent piping with properly rated doub,,Service:Service Repairs:Gas Combustion,895.00000,Non Inventory
Furnace Check,PERFORM INSPECTION ON FURNACE BEFORE HEATING SEASON TO ENSURE EVERYTHING IS IN OPERATING CONDITION.\CR\CR*BNI DISCOUNT*,,Maintenance,99.00000,Non Inventory
Gas Combustion Analysis,PERFORM GAS COMBUSTION ANALYSIS COMPLETE INCLUDING -1) MEASUREMENT OF FURNACE EFFICIENCY -2) RECORD ALL DATA FROM ANALYSIS -3) MAKE ADJUSTMENTS AS NEE,,Service:Service Repairs:Gas Combustion:Gas Furnace Repairs,495.53000,Non Inventory
Gas Furnace Burner Replacement,REPLACE GAS FURNACE BURNER ASSEMBLY COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE BURNERS -2) RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPE,,,899.60000,Non Inventory
Gas Furnace Tune-Up,See notes for description.,,,149.00000,Non Inventory
Gas Heat Exchanger,REPLACE GAS HEAT EXCHANGER COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE COMPONENT -2) RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPER OPERA,,Service:Service Repairs:Gas Furnace Repairs,2800.00000,Non Inventory
Gas Safety Cut-off,INSTALL NEW SAFETY GAS CUT-OFF FOR GAS APPLIANCE COMPLETE INCLUDING \CR*PRESSURE TEST UPON COMPLETION TO ENSURE NO LEAKS\CR*1 YR. REPLACEMENT COVERAGE O,,Service:Service Repairs:Gas Piping Repairs,262.99000,Non Inventory
Gas Valve,REPLACE ELECTRONIC GAS VALVE COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE GAS VALVE -2) RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPER OPE,,Service:Service Repairs:Gas Furnace Repairs:Valves,764.56000,Non Inventory
Gas-Tite Above Ground 10',INSTALL GAS LINE COMPLETE INCLUDING -1) INSTALLATION OF SEDIMENT TRAP -2) INSTALLATION OF SAFETY CUT-OFF VALVE BEFORE APPLIANCE -3) 1 YR REPLACEMENT C,,Service:Service Repairs:Gas Piping Repairs,740.03000,Non Inventory
Gas-Tite Above Ground 20',INSTALL GAS LINE COMPLETE INCLUDING -1) INSTALLATION OF SEDIMENT TRAP -2) INSTALLATION OF SAFETY CUT-OFF VALVE BEFORE APPLIANCE -3) 1 YR REPLACEMENT C,,Service:Service Repairs:Gas Piping Repairs,962.69000,Non Inventory
Gas-Tite Above Ground 30',INSTALL GAS LINE COMPLETE INCLUDING -1) INSTALLATION OF SEDIMENT TRAP -2) INSTALLATION OF SAFETY CUT-OFF VALVE BEFORE APPLIANCE -3) 1 YR REPLACEMENT C,,Service:Service Repairs:Gas Piping Repairs,1185.36000,Non Inventory
Gas-Tite Above Ground 40',INSTALL GAS LINE COMPLETE INCLUDING -1) INSTALLATION OF SEDIMENT TRAP -2) INSTALLATION OF SAFETY CUT-OFF VALVE BEFORE APPLIANCE -3) 1 YR REPLACEMENT C,,Service:Service Repairs:Gas Piping Repairs,1408.03000,Non Inventory
Gas-Tite Above Ground 50',INSTALL GAS LINE COMPLETE INCLUDING -1) INSTALLATION OF SEDIMENT TRAP -2) INSTALLATION OF SAFETY CUT-OFF VALVE BEFORE APPLIANCE -3) 1 YR REPLACEMENT C,,Service:Service Repairs:Gas Piping Repairs,1630.69000,Non Inventory
Gas-Tite Below Ground 10',INSTALL GAS LINE COMPLETE INCLUDING -1) INSTALLATION OF SEDIMENT TRAP -2) INSTALLATION OF SAFETY CUT-OFF VALVE BEFORE APPLIANCE -3) 1 YR REPLACEMENT C,,Service:Service Repairs:Gas Piping Repairs,820.88000,Non Inventory
Gas-Tite Below Ground 20',INSTALL GAS LINE COMPLETE INCLUDING -1) INSTALLATION OF SEDIMENT TRAP -2) INSTALLATION OF SAFETY CUT-OFF VALVE BEFORE APPLIANCE -3) 1 YR REPLACEMENT C,,Service:Service Repairs:Gas Piping Repairs,1184.48000,Non Inventory
Gas-Tite Below Ground 30',INSTALL GAS LINE COMPLETE INCLUDING -1) INSTALLATION OF SEDIMENT TRAP -2) INSTALLATION OF SAFETY CUT-OFF VALVE BEFORE APPLIANCE -3) 1 YR REPLACEMENT C,,Service:Service Repairs:Gas Piping Repairs,1548.08000,Non Inventory
Gas-Tite Below Ground 40',INSTALL GAS LINE COMPLETE INCLUDING -1) INSTALLATION OF SEDIMENT TRAP -2) INSTALLATION OF SAFETY CUT-OFF VALVE BEFORE APPLIANCE -3) 1 YR REPLACEMENT C,,Service:Service Repairs:Gas Piping Repairs,1911.68000,Non Inventory
Gas-Tite Below Ground 50',INSTALL GAS LINE COMPLETE INCLUDING -1) INSTALLATION OF SEDIMENT TRAP -2) INSTALLATION OF SAFETY CUT-OFF VALVE BEFORE APPLIANCE -3) 1 YR REPLACEMENT C,,Service:Service Repairs:Gas Piping Repairs,2275.28000,Non Inventory
GEFA Program Rebate,,,,0.00000,Non Inventory
Generator Maintenance,Giesbrecht Generator Maintenance Program\CR\CRThis Program Includes the Following:\CR\CR12 MONTH COVERAGE\CR\CR1 COMPREHENSIVE ANNUAL SERVICE & INSPECTION\CR\CRFULL S,,,279.00000,Non Inventory
Geothermal Local Week-Day,STANDARD SERVICE CALL & DIAGNOSIS TIME,,Service:Service Repairs:Service Call & Diagnosis,278.67000,Non Inventory
Giesbrecht CAP,,,,373.33000,Non Inventory
Giesbrecht Maintenance,GIESBRECHT MAINTENANCE PROGRAM\CRThis Program Includes the Following\CR- 12 MONTH COVERAGE\CR- 2 PRECISION TUNE-UPS EACH YEAR EVERY 6 MONTHS. \CR- LOWER U,,,179.00000,Inventory
Giesbrecht Maintenance Plan,This Plan Includes the Following\CR- 12 MONTH COVERAGE\CR-INCLUDES A FREE PRECISION HEATING TUNE-UP\CR-INCLUDES A FREE PRECISION COOLING TUNE-UP\CR-LOWER,,,189.00000,Inventory
Giesbrecht Preventive Mainte...,,,,199.00000,Non Inventory
Goliath *Never Rust* Drain Pan,INSTALL GOLIATH *NEVER RUST* EMERGENCY DRAIN PAN COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE DRAIN PAN -2) 5 YR. REPLACEMENT COVERAGE BY GI,,Service:Service Repairs:Condensate,864.77000,Non Inventory
Goodman Fan Relay Control Board,REPLACE FAN CONTROL RELAY BOARD COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE MODULE -2) RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPER OPE,,Service:Service Repairs:Circuit Boards,421.69000,Non Inventory
Grasslin Defrost Time Clock,INSTALL DEFROST TIME CLOCK COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE TIME CLOCK -2) RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPER OPER,,Service:Service Repairs:Refrigeration Equipment / Coolers / Freezers / Milk Coolers,739.34000,Non Inventory
Hard Water Genie (Giesbrecht),"INSTALL HARD WATER GENIE COMPLETE INCLUDING -1) LIFETIME WARRANTY ON WATER GENIE COURTESY OF GIESBRECHT HVAC, INC.",,Service:Service Repairs:Water Improvement Products,644.28000,Non Inventory
Hard Water Genie (Homeowner),PURCHASE AND INSTALL YOURSELF HARD WATER GENIE UNIT,,Service:Service Repairs:Water Improvement Products,525.63000,Non Inventory
Heat Kits / Elements 10 KW,REPLACE HEAT KIT COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE (PART) -2) RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPER OPERATION & RECORD,,Service:Service Repairs:Ductwork Repairs / Modifications,536.61000,Non Inventory
Heat Kits / Elements 15 KW,REPLACE HEAT KIT COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE (PART) -2) RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPER OPERATION & RECORD,,Service:Service Repairs:Heating Elements,717.29000,Non Inventory
Heating Repair,,,Service:Service Repairs,0.00000,Non Inventory
Heating Sequencers,REPLACE HEATING RELAY COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE RELAY-2) RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPER OPERATION & REC,,Service:Service Repairs:Sequencers:Heating Elements,262.15000,Non Inventory
Heavy Duty 1 Filters 10X25,1 CASE OF 10X25X1 HEAVY DUTY FILTERS,,Service:Service Repairs,51.36000,Inventory
Heavy Duty 1 Filters 10X56,1 CASE OF 10X56X1 HEAVY DUTY FILTERS,,Service:Service Repairs,136.08000,Inventory
Heavy Duty 1 Filters 18X18,1 CASE OF 18X18X1 HEAVY DUTY FILTERS,,Service:Service Repairs,36.24000,Inventory
HFWL Maintenance,,,,1243.00000,Non Inventory
Holiday Service Call,HOLIDAY SERVICE CALL & DIAGNOSIS TIME,239.00,Service:Service Repairs:Service Call & Diagnosis,239.00000,Non Inventory
Home Load Analysis,"PERFORM COMPLETE HOME LOAD ANALYSIS COMPLETE INCLUDING -1) VISIT HOME & MEASURE OUT SQUARE FOOTAGE AND RECORD ALL LOCATIONS OF WINDOWS & DOORS, INSULA",,Service:Service Repairs:Energy Management Solutions:Home Performance Services,745.33000,Non Inventory
Home Performance Test 2,PERFORM INFRARED CAMERA INSPECTION. RECORDED VIDEO PROVIDED TO YOU THRU YOUTUBE PLATFORM,,Service:Service Repairs:Home Diagnosis Services,1012.00000,Non Inventory
Homeowner Provided Thermostat,INSTALL HOMEOWNER PROVIDED THERMOSTAT -1) REMOVAL & DISPOSAL OF EXISTING THERMOSTAT -2) RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPER OPERATION & R,,Service:Service Repairs:Thermostat,139.00000,Non Inventory
Honeywell 2 Wire Damper Motor,REPLACE DAMPER MOTOR COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE MOTOR -2) CONNECT TO EXISTING CONTROL WIRING -3) RUN TEST TO ENSURE PROPER,,Service:Service Repairs:Motors,342.00000,Non Inventory
