Item Name,Description,Mfg Part #,Category,Rate,Item Type
5 Ton XR17,INSTALL 5 TON XR17 SEER DUAL SPEED TRANE HEAT PUMP SYSTEM INCLUDING\CR\CRFeatures & Benefits\CR*Dual Speed Compressor \CR*Variable Speed Indoor Fan \CR*Increase,,Sales:Trane:Split Heat Pump,16458.00000,Inventory
5 Ton XV17 SHP,INSTALL 5 TON XV17 SEER DUAL-SPEED TRANE HEAT PUMP SYSTEM INCLUDING\CR\CRFeatures & Benefits\CR*Dual Speed Compressor \CR*Variable Speed Indoor Fan \CR*Increase,,Sales:Trane:Split Heat Pump,15447.00000,Non Inventory
5 Ton XV18 SGA,INSTALL 5 TON XV18 TRANE A/C WITH GAS FURNACE COMPLETE \CR\CRFeatures & Benefits\CR*Variable Speed Compressor \CR*Variable Speed Indoor Fan \CR*Increased De-hum,,Sales:Trane:Split Gas A/C,23784.00000,Non Inventory
5 Ton XV18 SHP,INSTALL 5 TON XV18 SEER VARIABLE SPEED TRANE HEAT PUMP SYSTEM INCLUDING\CR\CRFeatures & Benefits\CR*Variable Speed Compressor \CR*Variable Speed Indoor Fan \CR*,,Sales:Trane:Split Heat Pump,24786.00000,Non Inventory
5 Ton XV20 SGA,INSTALL 5 TON XV20 TRANE A/C WITH GAS FURNACE COMPLETE \CR\CRFeatures & Benefits\CR*Variable Speed Compressor \CR*Variable Speed Indoor Fan \CR*Increased De-hum,,Sales:Trane:Split Gas A/C,26561.00000,Non Inventory
5 Ton XV20 SHP,INSTALL 5 TON XV20 TRANE HEAT PUMP SYSTEM COMPLETE\CR\CRFeatures & Benefits\CR*Variable Speed Compressor \CR*Variable Speed Indoor Fan \CR*Increased De-humidifi,,Sales:Trane:Split Heat Pump,26904.00000,Non Inventory
5% Discount,5% Preferred Client Discount,,Service:Discounts,5.00000,Discount
50 Gallon Electric Water Heater,INSTALL NEW 50 GALLON ELECTRIC TANK WATER HEATER COMPLETE INCLUDING \CR-1) REMOVAL & DISPOSAL OF EXISTING WATER HEATER \CR-2) CONNECT TO EXISTING WATER,,Service:Service Repairs:Water Heater,1932.03000,Non Inventory
50 Gallon Gas Water Heater,INSTALL NEW 50 GALLON NATURAL GAS TANK WATER HEATER COMPLETE INCLUDING \CR-1) REMOVAL & DISPOSAL OF EXISTING WATER HEATER \CR-2) CONNECT TO EXISTING WAT,,Service:Service Repairs:Water Heater,3377.17000,Non Inventory
50% Discount,50% Preffered Client Discount,,Service:Discounts,50.00000,Discount
500 LB. Nugget Ice Lease,24 MONTH 500 LB. NUGGET ICE MACHINE LEASE AGREEMENT - THIS IS BILLED MONTHLY PAYABLE BY CREDIT OR DEBIT CARD. \CR\CR* Brand New Ice Machine delivered to,,Maintenance,145.00000,Non Inventory
500-Refrigerant,"ADD CORRECT AMOUNT OF REFRIGERANT COMPLETE INCLUDING -1) MONITOR REFRIGERANT LEVELS, MEASURE TEMPERATURES & PRESSURES -2) RECORD ALL DATA FOR FUTURE R",,Service:Service Repairs:Refrigerant,483.80000,Non Inventory
6 Heat Pump Risers (Per Riser),INSTALL 6 RISER(S) COMPLETE INCLUDING -1) IF IN PLACE REMOVE EXISTING SUPPORTS AND DISPOSE -2) 5 YR. REPLACEMENT COVERAGE BY GIESBRECHT,,Service:Service Repairs:HVAC Equipment Support,87.79000,Non Inventory
6 Heat Pump Risers (Set of 4),INSTALL 6 RISER(S) COMPLETE INCLUDING -1) IF IN PLACE REMOVE EXISTING SUPPORTS AND DISPOSE -2) 5 YR. REPLACEMENT COVERAGE BY GIESBRECHT,,Service:Service Repairs:HVAC Equipment Support,269.25000,Non Inventory
6 Mil Deluxe Encapsulation,INSTALL 6 MIL DELUXE ENCAPSULATION SYSTEM COMPLETE INCLUDING \CR-REMOVAL & DISPOSAL OF EXISTING DEBRIS FROM CRAWLSPACE AREA\CR-SEAL OFF ALL HOUSE VENTS AN,,,894.00000,Inventory
60 Amp Fused Disconnect,REPLACE 60 AMP FUSED DISCONNECT COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE (PART) -2) RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPER OPE,,Service:Service Repairs:Electrical Repairs,570.62000,Inventory
60 Amp Heat Kit Breaker,REPLACE 60 AMP BREAKER COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE (PART) -2) RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPER OPERATION &,,Service:Service Repairs:Electrical Repairs,351.80000,Non Inventory
60 Amp Non-Fused Disconnect,REPLACE 60 AMP NON-FUSED DISCONNECT COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE (PART) -2) RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPER,,Service:Service Repairs:Electrical Repairs,326.85000,Non Inventory
60 AMP Rectorseal Disconnect,RSH-50 Voltage Reduction Module Kit: $977.69 (Includes professional installation and all applicable margins)\CR\CRThe RSH-50 VRM Kit is a premium voltage,RSH-50 VRM,Service:Service Repairs:Electrical Repairs,977.69000,Non Inventory
600-Refrigerant,"ADD CORRECT AMOUNT OF REFRIGERANT COMPLETE INCLUDING -1) MONITOR REFRIGERANT LEVELS, MEASURE TEMPERATURES & PRESSURES -2) RECORD ALL DATA FOR FUTURE R",,Service:Service Repairs:Refrigerant,512.29000,Non Inventory
62,,,,654.00000,Non Inventory
654,,,,2.00000,Non Inventory
7.5 Ton RTU,INSTALL 7.5 TON TRANE ROOF TOP GAS PACKAGE UNIT COMPLETE INCLUDING,,Sales:Trane:Packaged Heat Pump,9848.00000,Non Inventory
700-Refrigerant,"ADD CORRECT AMOUNT OF REFRIGERANT COMPLETE INCLUDING -1) MONITOR REFRIGERANT LEVELS, MEASURE TEMPERATURES & PRESSURES -2) RECORD ALL DATA FOR FUTURE R",,Service:Service Repairs:Refrigerant,588.79000,Non Inventory
75 Pint Dehumidifier,INSTALL 75 PINT VENTILATING DE-HUMIDIFIER INCLUDING\CR\CR-CONNECT IN DUCTING\CR\CR-CONNECT TO CONDENSATE DRAIN\CR\CR-CONNECT TO HIGH VOLTAGE POWER\CR\CR-CONNECT IN LO,,Sales:Dehumidifier,3944.00000,Inventory
80 KVA Surge Protector,,,Service:Service Repairs:Electrical Repairs,865.23000,Non Inventory
800-Refrigerant,"ADD CORRECT AMOUNT OF REFRIGERANT COMPLETE INCLUDING -1) MONITOR REFRIGERANT LEVELS, MEASURE TEMPERATURES & PRESSURES -2) RECORD ALL DATA FOR FUTURE R",,Service:Service Repairs:Refrigerant,668.78000,Non Inventory
"""9,000 BTU Mini Split""",Carrier High-Performance Heat Pump System Installation\CRWe propose the installation of a premium Carrier heat pump system designed to provide year-roun,,Sales:Carrier - Turn to the experts:Carrier Ductless Mini Split,5230.00000,Non Inventory
"""9,000 Carrier Mini-Split""","INSTALL 9,000 BTU CARRIER MINI SPLIT SYSTEM COMPLETE INCLUDING\CR\CRMOUNT INDOOR UNIT TO WALL IN DESIRED LOCATION\CRINSTALL AND CONNECT ALL COPPER REFRIGERA",,Sales:Carrier - Turn to the experts:Carrier Ductless Mini Split,5321.02000,Inventory
900-Refrigerant,"ADD CORRECT AMOUNT OF REFRIGERANT COMPLETE INCLUDING -1) MONITOR REFRIGERANT LEVELS, MEASURE TEMPERATURES & PRESSURES -2) RECORD ALL DATA FOR FUTURE R",,Service:Service Repairs:Refrigerant,748.79000,Non Inventory
98 Pint Dehumidifier,INSTALL 98 PINT VENTILATING DE-HUMIDIFIER INCLUDING\CR\CR-CONNECT IN DUCTING\CR\CR-CONNECT TO CONDENSATE DRAIN\CR\CR-CONNECT TO HIGH VOLTAGE POWER\CR\CR-CONNECT IN LO,,Sales:Dehumidifier,4782.00000,Inventory
9K 17 Seer SZMS,,,Sales:Samsung Mini Splits,2609.00000,Non Inventory
9k Mini Split,"Carrier Complete Mini-Split System – 9,000 BTU\CR\CROutdoor Condenser (Outdoor Unit)\CR\CRHigh-efficiency Carrier outdoor condenser\CR\CRHouses the compressor and",,,4730.00000,Inventory
9K RunTru 17 SEER Mini-Split,"INSTALL 9,000 BTU 17 SEER RUN TRU MINI SPLIT HEAT PUMP SYSTEM COMPLETE",,Sales:Run Tru:RunTru Mini-Split,4839.00000,Non Inventory
9K RunTru 18 SEER Mini-Split,"INSTALL 9,000 BTU 18 SEER RUN TRU MINI SPLIT HEAT PUMP SYSTEM COMPLETE",,Sales:Run Tru:RunTru Mini-Split,5223.00000,Non Inventory
9K RunTru 23 SEER Mini-Split,"INSTALL 9,000 BTU 23 SEER RUN TRU MINI SPLIT HEAT PUMP SYSTEM COMPLETE",,Sales:Run Tru:RunTru Mini-Split,5368.00000,Non Inventory
AASKI  Commercial Maintenance,Giesbrecht Maintenance Program 2 Units\CRThe systems we will be servicing \CRSystem #1 \CRModel: GAC240A3ELA\CRSerial: 141410094A\CR\CRSystem #2 \CRModel: GAC300AJE,,Maintenance,688.00000,Non Inventory
AASKI Filters,"SUPPLY & CHANGE ALL FILTERS FOR BOTH SYSTEMS EVERY 6 MONTHS. USING A MERV 8 - 2"" FILTER SO THIS ALLOWS FOR THE FILTERS TO LAST MUCH LONGER.",,Sales:Indoor Air Quality,438.00000,Inventory
AC Repair,,,,258.96000,Non Inventory
Access Door,,,Sales,0.00000,Inventory
