Item Name,Description,Mfg Part #,Category,Rate,Item Type
Compressor - 1100,INSTALL NEW COMPRESSOR COMPLETE INCLUDING\CRThis Installation Includes the Following:\CR* Reclaim refrigerant from the system\CR* Removal and disposal of de,,Service:Service Repairs:Compressor,5434.49,Non Inventory
Compressor - 1300,INSTALL NEW COMPRESSOR COMPLETE INCLUDING\CRThis Installation Includes the Following:\CR* Reclaim refrigerant from the system\CR* Removal and disposal of de,,Service:Service Repairs:Compressor,5948.78,Non Inventory
Compressor - 1500,INSTALL NEW COMPRESSOR COMPLETE INCLUDING\CRThis Installation Includes the Following:\CR* Reclaim refrigerant from the system\CR* Removal and disposal of de,,Service:Service Repairs:Compressor,6463.06,Non Inventory
Compressor - 1700,INSTALL NEW COMPRESSOR COMPLETE INCLUDING\CRThis Installation Includes the Following:\CR* Reclaim refrigerant from the system\CR* Removal and disposal of de,,Service:Service Repairs:Compressor,7184.73,Non Inventory
Compressor - 600,INSTALL NEW COMPRESSOR COMPLETE INCLUDING\CRThis Installation Includes the Following:\CR* Reclaim refrigerant from the system\CR* Removal and disposal of de,,Service:Service Repairs:Compressor,3941.4,Non Inventory
Compressor - 800,INSTALL NEW COMPRESSOR COMPLETE INCLUDING\CRThis Installation Includes the Following:\CR* Reclaim refrigerant from the system\CR* Removal and disposal of de,,Service:Service Repairs:Compressor,4455.68,Non Inventory
