file,tonnage,type,notes
ducting_5_0ton_icon_.png,5.0,ducting_icon,Same icon used across all ducting tiles.
ducting_4_0ton_icon_.png,4.0,ducting_icon,Same icon used across all ducting tiles.
ducting_3_5ton_icon_.png,3.5,ducting_icon,Same icon used across all ducting tiles.
ducting_3_0ton_icon_.png,3.0,ducting_icon,Same icon used across all ducting tiles.
ducting_2_5ton_icon_.png,2.5,ducting_icon,Same icon used across all ducting tiles.
ducting_2_0ton_icon_.png,2.0,ducting_icon,Same icon used across all ducting tiles.
ducting_1_5ton_icon_.png,1.5,ducting_icon,Same icon used across all ducting tiles.
