file,package,system,tonnage,tier,position,brand,model,pdf_page,column
shp_premium_2_5ton_budget_2_trane_5tem6b03av21s.png,Premium,SHP,2.5,Budget,2,Trane,5TEM6B03AV21S,5,right
shp_premium_2_5ton_budget_3_trane_tcont724as42da.png,Premium,SHP,2.5,Budget,3,Trane,TCONT724AS42DA,5,right
shp_premium_2_5ton_good_1_trane_5twr5030a1000.png,Premium,SHP,2.5,Good,1,Trane,5TWR5030A1000,5,left
shp_premium_2_5ton_good_2_trane_5tem6b03av21s.png,Premium,SHP,2.5,Good,2,Trane,5TEM6B03AV21S,5,left
shp_premium_2_5ton_good_3_trane_tcont724as42da.png,Premium,SHP,2.5,Good,3,Trane,TCONT724AS42DA,5,left
shp_premium_2ton_best_1_trane_5twv8x24a1000.png,Premium,SHP,2,Best,1,Trane,5TWV8X24A1000,6,left
shp_premium_2ton_best_2_trane_5temcb02av21.png,Premium,SHP,2,Best,2,Trane,5TEMCB02AV21,6,left
shp_premium_2ton_best_3_trane_tlink360a2vvua.png,Premium,SHP,2,Best,3,Trane,TLINK360A2VVUA,6,left
shp_premium_2ton_better_1_trane_5twr7024a1000.png,Premium,SHP,2,Better,1,Trane,5TWR7024A1000,6,right
shp_premium_2ton_better_2_trane_5tem6b02av21s.png,Premium,SHP,2,Better,2,Trane,5TEM6B02AV21S,6,right
shp_premium_2ton_better_3_trane_tcont724as42da.png,Premium,SHP,2,Better,3,Trane,TCONT724AS42DA,6,right
shp_premium_2ton_budget_1_trane_5twr4024a1000.png,Premium,SHP,2,Budget,1,Trane,5TWR4024A1000,6,right
shp_premium_2ton_budget_2_trane_5tem6b02av21s.png,Premium,SHP,2,Budget,2,Trane,5TEM6B02AV21S,6,right
shp_premium_2ton_budget_3_trane_tcont724as42da.png,Premium,SHP,2,Budget,3,Trane,TCONT724AS42DA,6,right
shp_premium_2ton_good_1_trane_5twr5024a1000.png,Premium,SHP,2,Good,1,Trane,5TWR5024A1000,6,left
shp_premium_2ton_good_2_trane_5tem6b02av21s.png,Premium,SHP,2,Good,2,Trane,5TEM6B02AV21S,6,left
shp_premium_2ton_good_3_trane_tcont724as42da.png,Premium,SHP,2,Good,3,Trane,TCONT724AS42DA,6,left
shp_premium_1_5ton_budget_1_trane_5twr4018a1000.png,Premium,SHP,1.5,Budget,1,Trane,5TWR4018A1000,7,right
shp_premium_1_5ton_budget_2_trane_5tem6b02av21s.png,Premium,SHP,1.5,Budget,2,Trane,5TEM6B02AV21S,7,right
shp_premium_1_5ton_budget_3_trane_tcont724as42da.png,Premium,SHP,1.5,Budget,3,Trane,TCONT724AS42DA,7,right
shp_premium_1_5ton_good_1_trane_5twr5018a1000.png,Premium,SHP,1.5,Good,1,Trane,5TWR5018A1000,7,left
shp_premium_1_5ton_good_2_trane_5tem6b02av21s.png,Premium,SHP,1.5,Good,2,Trane,5TEM6B02AV21S,7,left
shp_premium_1_5ton_good_3_trane_tcont724as42da.png,Premium,SHP,1.5,Good,3,Trane,TCONT724AS42DA,7,left
