file,package,system,tonnage,tier,position,brand,model,pdf_page,column,placeholder
shp_essential_3ton_better_3_carrier_eb-state3lticr-01.png,Essential,SHP,3,Better,3,Carrier,EB-STATE3LTICR-01,5,right,0
shp_essential_3ton_budget_1_runtru_a5hp4036a1000.png,Essential,SHP,3,Budget,1,RunTru,A5HP4036A1000,5,right,0
shp_essential_3ton_budget_2_runtru_a5ahc003a1b30a.png,Essential,SHP,3,Budget,2,RunTru,A5AHC003A1B30A,5,right,0
shp_essential_3ton_budget_3_trane_tcont724as42da.png,Essential,SHP,3,Budget,3,Trane,TCONT724AS42DA,5,right,0
shp_essential_3ton_good_1_trane_5twr4036a1000.png,Essential,SHP,3,Good,1,Trane,5TWR4036A1000,5,left,0
shp_essential_3ton_good_2_trane_5tem4b03ac31s.png,Essential,SHP,3,Good,2,Trane,5TEM4B03AC31S,5,left,0
shp_essential_3ton_good_3_trane_tcont724as42da.png,Essential,SHP,3,Good,3,Trane,TCONT724AS42DA,5,left,0
shp_essential_2_5ton_best_1_trane_5twr5030a1000.png,Essential,SHP,2.5,Best,1,Trane,5TWR5030A1000,6,left,0
shp_essential_2_5ton_best_2_trane_5tem4b03ac31s.png,Essential,SHP,2.5,Best,2,Trane,5TEM4B03AC31S,6,left,0
shp_essential_2_5ton_best_3_trane_tcont724as42da.png,Essential,SHP,2.5,Best,3,Trane,TCONT724AS42DA,6,left,0
shp_essential_2_5ton_better_1_carrier_fj5anxb30l08.png,Essential,SHP,2.5,Better,1,Carrier,FJ5ANXB30L08,6,right,0
shp_essential_2_5ton_better_2_carrier_27spa630a003.png,Essential,SHP,2.5,Better,2,Carrier,27SPA630A003,6,right,0
shp_essential_2_5ton_better_3_carrier_eb-state3lticr-01.png,Essential,SHP,2.5,Better,3,Carrier,EB-STATE3LTICR-01,6,right,0
shp_essential_2_5ton_budget_1_ameristar_a5hp4030a1000.png,Essential,SHP,2.5,Budget,1,Ameristar,A5HP4030A1000,6,right,0
shp_essential_2_5ton_budget_2_ameristar_a5ahc003a1b30a.png,Essential,SHP,2.5,Budget,2,Ameristar,A5AHC003A1B30A,6,right,0
shp_essential_2_5ton_budget_3_trane_tcont724as42da.png,Essential,SHP,2.5,Budget,3,Trane,TCONT724AS42DA,6,right,0
