file,package,system,tonnage,tier,position,brand,model,pdf_page,column
shp_ultimate_2_5ton_budget_2_trane_5tem6b03av21s.png,Ultimate,SHP,2.5,Budget,2,Trane,5TEM6B03AV21S,8,full
shp_ultimate_2_5ton_budget_3_trane_tcont724as42da.png,Ultimate,SHP,2.5,Budget,3,Trane,TCONT724AS42DA,8,full
shp_ultimate_2ton_best_1_trane_5twv0x24a1000.png,Ultimate,SHP,2,Best,1,Trane,5TWV0X24A1000,9,left
shp_ultimate_2ton_best_2_trane_5tamxc03av31d.png,Ultimate,SHP,2,Best,2,Trane,5TAMXC03AV31D,9,left
shp_ultimate_2ton_best_3_trane_tlink360a2vvua.png,Ultimate,SHP,2,Best,3,Trane,TLINK360A2VVUA,9,left
shp_ultimate_2ton_better_1_trane_5twv8x24a1000.png,Ultimate,SHP,2,Better,1,Trane,5TWV8X24A1000,9,right
shp_ultimate_2ton_better_2_trane_5tamxc03av31d.png,Ultimate,SHP,2,Better,2,Trane,5TAMXC03AV31D,9,right
shp_ultimate_2ton_better_3_trane_tlink360a2vvua.png,Ultimate,SHP,2,Better,3,Trane,TLINK360A2VVUA,9,right
shp_ultimate_2ton_budget_1_trane_5twx5024a1000.png,Ultimate,SHP,2,Budget,1,Trane,5TWX5024A1000,10,right
shp_ultimate_2ton_budget_2_trane_5temcb02av21.png,Ultimate,SHP,2,Budget,2,Trane,5TEMCB02AV21,10,right
shp_ultimate_2ton_budget_3_trane_tcont724as42da.png,Ultimate,SHP,2,Budget,3,Trane,TCONT724AS42DA,10,right
shp_ultimate_2ton_good_1_trane_5twx7024a1000.png,Ultimate,SHP,2,Good,1,Trane,5TWX7024A1000,10,left
shp_ultimate_2ton_good_2_trane_5temcb02av21.png,Ultimate,SHP,2,Good,2,Trane,5TEMCB02AV21,10,left
shp_ultimate_2ton_good_3_trane_tcont724as42da.png,Ultimate,SHP,2,Good,3,Trane,TCONT724AS42DA,10,left
shp_ultimate_1_5ton_budget_1_trane_5twx5018a1000.png,Ultimate,SHP,1.5,Budget,1,Trane,5TWX5018A1000,11,full
shp_ultimate_1_5ton_budget_2_trane_5tem6b02av21s.png,Ultimate,SHP,1.5,Budget,2,Trane,5TEM6B02AV21S,11,full
shp_ultimate_1_5ton_budget_3_trane_tcont724as42da.png,Ultimate,SHP,1.5,Budget,3,Trane,TCONT724AS42DA,11,full
